"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","02","2017","07","15","P3","privado","D2","Reino Unido","NA","NA","9,325","5896,0"
"01","03","2017","07","15","P1","privado","D2","España","trabajo","esporádica","26,5","17765,149"
"01","03","2017","07","15","P2","privado","D2","España","casa","esporádica","21,18","14628,221"
"01","03","2017","07","15","P3","autobús","D2","Resto de Europa","NA","NA","14,856","10262,486"
"01","03","2017","07","15","P3","privado","D2","España","casa","esporádica","22,467","15520,423"
"01","03","2017","07","15","P3","privado","D2","España","esporádica","esporádica","21,945","16715,743"
"01","03","2017","07","15","P3","privado","D2","España","esporádica","frecuente","23,237","17699,386"
"01","03","2017","07","15","P3","privado","D2","España","frecuente","esporádica","25,0","18911,475"
"01","03","2017","07","15","P4","privado","D2","España","casa","esporádica","22,48","16570,435"
"01","04","2017","07","15","P1","privado","D2","España","casa","esporádica","21,753","19005,358"
"01","04","2017","07","15","P1","privado","D2","España","esporádica","esporádica","26,535","22881,959"
"01","05","2017","07","15","P2","privado","D2","España","esporádica","esporádica","13,145","4619,22"
"01","06","2017","07","15","P3","privado","D2","España","casa","esporádica","23,843","16813,274"
"01","06","2017","07","15","P4","privado","D2","España","esporádica","esporádica","11,259","7029,831"
"01","06","2017","07","15","P4","privado","D2","Francia","NA","NA","6,637","4430,627"
"01","08","2017","07","15","P1","tren","D2","España","casa","esporádica","12,845","7529,231"
"01","08","2017","07","15","P1","tren","D2","España","frecuente","esporádica","33,395","19574,483"
"01","08","2017","07","15","P1","tren","D2","Italia","NA","NA","4,831","2831,807"
"01","08","2017","07","15","P2","autobús","D2","España","esporádica","casa","16,683","7812,455"
"01","08","2017","07","15","P2","privado","D2","España","esporádica","frecuente","16,008","8970,935"
"01","08","2017","07","15","P2","tren","D2","España","casa","esporádica","39,948","23415,405"
"01","08","2017","07","15","P3","autobús","D2","España","esporádica","frecuente","14,339","7815,445"
"01","08","2017","07","15","P3","privado","D2","España","frecuente","esporádica","43,77","22577,424"
"01","08","2017","07","15","P4","privado","D2","España","esporádica","frecuente","12,981","7172,581"
"01","09","2017","07","15","P1","privado","D2","Alemania","NA","NA","15,872","1269,968"
"01","09","2017","07","15","P1","privado","D2","España","esporádica","casa","46,376","3467,799"
"01","09","2017","07","15","P1","privado","D2","España","esporádica","esporádica","57,535","4763,442"
"01","09","2017","07","15","P1","privado","D2","España","esporádica","frecuente","17,92","1433,851"
"01","09","2017","07","15","P1","privado","D2","España","frecuente","casa","17,064","3091,471"
"01","09","2017","07","15","P1","privado","D2","España","frecuente","esporádica","14,653","1628,435"
"01","09","2017","07","15","P1","privado","D2","Italia","NA","NA","14,494","1895,173"
"01","09","2017","07","15","P2","autobús","D2","España","casa","esporádica","10,848","549,063"
"01","09","2017","07","15","P2","privado","D2","España","casa","esporádica","227,287","19571,685"
"01","09","2017","07","15","P2","privado","D2","España","casa","frecuente","62,051","3837,016"
"01","09","2017","07","15","P2","privado","D2","España","esporádica","casa","19,25","1289,596"
"01","09","2017","07","15","P2","privado","D2","España","esporádica","esporádica","126,8","14035,548"
"01","09","2017","07","15","P2","privado","D2","España","esporádica","frecuente","22,965","2034,214"
"01","09","2017","07","15","P2","privado","D2","España","frecuente","esporádica","87,886","9455,429"
"01","09","2017","07","15","P2","privado","D2","España","frecuente","frecuente","28,139","1786,25"
"01","09","2017","07","15","P2","privado","D2","España","trabajo","esporádica","24,121","2978,27"
"01","09","2017","07","15","P2","privado","D2","Francia","NA","NA","13,275","2586,137"
"01","09","2017","07","15","P3","autobús","D2","España","casa","esporádica","11,859","903,351"
"01","09","2017","07","15","P3","privado","D2","Alemania","NA","NA","15,872","2966,079"
"01","09","2017","07","15","P3","privado","D2","España","casa","esporádica","644,882","57857,685"
"01","09","2017","07","15","P3","privado","D2","España","casa","frecuente","54,334","7660,897"
"01","09","2017","07","15","P3","privado","D2","España","esporádica","casa","81,272","5202,974"
"01","09","2017","07","15","P3","privado","D2","España","esporádica","esporádica","310,145","32333,908"
"01","09","2017","07","15","P3","privado","D2","España","esporádica","frecuente","64,996","5218,407"
"01","09","2017","07","15","P3","privado","D2","España","esporádica","trabajo","21,0","1248,471"
"01","09","2017","07","15","P3","privado","D2","España","frecuente","esporádica","104,16","14035,781"
"01","09","2017","07","15","P3","privado","D2","España","frecuente","frecuente","19,585","1700,95"
"01","09","2017","07","15","P3","privado","D2","España","trabajo","esporádica","107,231","12299,536"
"01","09","2017","07","15","P3","privado","D2","España","trabajo","frecuente","22,351","3441,84"
"01","09","2017","07","15","P3","privado","D2","Francia","NA","NA","6,637","1057,084"
"01","09","2017","07","15","P3","privado","D2","Resto de Europa","NA","NA","44,567","5075,164"
"01","09","2017","07","15","P3","privado","D2","Resto del mundo","NA","NA","50,945","4076,324"
