"Origen","Destino","Año","Mes","Día","Periodo","Modo","Distancia","Residencia","Actividad_Origen","Actividad_Destino","Viajeros","Viajeros-km"
"01","03","2017","10","7","P4","privado","D2","España","casa","esporádica","18,76","12892,397"
"01","05","2017","10","7","P2","tren","D2","España","casa","esporádica","24,183","8532,352"
"01","08","2017","10","7","P1","privado","D2","Italia","NA","NA","4,988","2606,021"
"01","08","2017","10","7","P1","tren","D2","España","casa","esporádica","19,409","11376,522"
"01","08","2017","10","7","P2","privado","D2","España","casa","esporádica","23,586","13104,237"
"01","08","2017","10","7","P2","privado","D2","España","frecuente","esporádica","21,522","10914,728"
"01","08","2017","10","7","P2","privado","D2","Francia","NA","NA","5,223","2404,306"
"01","08","2017","10","7","P2","tren","D2","España","casa","esporádica","12,489","7320,564"
"01","08","2017","10","7","P3","privado","D2","España","casa","esporádica","10,856","5792,445"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","casa","15,557","7391,173"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","esporádica","12,375","6862,148"
"01","08","2017","10","7","P3","privado","D2","España","esporádica","frecuente","17,0","8572,301"
"01","08","2017","10","7","P3","privado","D2","España","frecuente","casa","14,333","6964,667"
"01","08","2017","10","7","P3","privado","D2","España","trabajo","esporádica","24,189","11353,731"
"01","08","2017","10","7","P3","tren","D2","España","esporádica","esporádica","19,941","11688,06"
"01","08","2017","10","7","P4","privado","D2","España","casa","esporádica","37,158","19790,258"
"01","08","2017","10","7","P4","privado","D2","España","frecuente","esporádica","22,289","11962,001"
"01","09","2017","10","7","P1","privado","D2","España","casa","esporádica","62,334","6929,481"
"01","09","2017","10","7","P1","privado","D2","España","casa","frecuente","50,208","5714,788"
"01","09","2017","10","7","P1","privado","D2","España","esporádica","casa","28,565","2778,732"
"01","09","2017","10","7","P1","privado","D2","España","esporádica","esporádica","11,029","770,833"
"01","09","2017","10","7","P1","privado","D2","España","frecuente","frecuente","18,772","1905,949"
"01","09","2017","10","7","P1","privado","D2","Francia","NA","NA","10,446","1547,574"
"01","09","2017","10","7","P1","privado","D2","Italia","NA","NA","4,988","506,461"
"01","09","2017","10","7","P2","autobús","D2","Belgica","NA","NA","4,156","351,965"
"01","09","2017","10","7","P2","privado","D2","Belgica","NA","NA","4,156","419,672"
"01","09","2017","10","7","P2","privado","D2","España","casa","esporádica","358,711","40244,832"
"01","09","2017","10","7","P2","privado","D2","España","esporádica","casa","18,772","1257,592"
"01","09","2017","10","7","P2","privado","D2","España","esporádica","esporádica","62,079","5325,895"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","casa","42,26","3083,675"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","esporádica","37,472","5374,247"
"01","09","2017","10","7","P2","privado","D2","España","frecuente","frecuente","21,419","1371,374"
"01","09","2017","10","7","P2","privado","D2","España","trabajo","esporádica","19,941","2979,284"
"01","09","2017","10","7","P2","privado","D2","Francia","NA","NA","10,446","1400,133"
"01","09","2017","10","7","P2","privado","D2","Italia","NA","NA","4,988","255,69"
"01","09","2017","10","7","P2","privado","D2","Paises Nordicos","NA","NA","7,605","1009,434"
"01","09","2017","10","7","P2","privado","D2","Portugal","NA","NA","4,455","527,094"
"01","09","2017","10","7","P2","privado","D2","Resto de Europa","NA","NA","12,229","1212,147"
"01","09","2017","10","7","P2","tren","D2","España","casa","esporádica","24,673","806,6"
"01","09","2017","10","7","P3","autobús","D2","España","casa","esporádica","13,606","847,549"
"01","09","2017","10","7","P3","privado","D2","Alemania","NA","NA","17,14","2897,445"
"01","09","2017","10","7","P3","privado","D2","España","casa","esporádica","304,813","24377,384"
"01","09","2017","10","7","P3","privado","D2","España","casa","frecuente","23,661","2582,33"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","casa","152,313","10792,456"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","esporádica","105,112","13680,012"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","frecuente","64,068","7069,849"
"01","09","2017","10","7","P3","privado","D2","España","esporádica","trabajo","75,162","5510,229"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","casa","40,841","2750,895"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","esporádica","87,371","7052,16"
"01","09","2017","10","7","P3","privado","D2","España","frecuente","frecuente","17,477","1221,917"
"01","09","2017","10","7","P3","privado","D2","España","trabajo","esporádica","34,933","3482,942"
"01","09","2017","10","7","P3","privado","D2","España","trabajo","frecuente","37,923","2279,878"
"01","09","2017","10","7","P3","privado","D2","Francia","NA","NA","5,223","881,656"
"01","09","2017","10","7","P3","privado","D2","Paises Nordicos","NA","NA","7,605","910,76"
"01","09","2017","10","7","P3","privado","D2","Portugal","NA","NA","4,455","709,484"
"01","09","2017","10","7","P3","privado","D2","Resto de Europa","NA","NA","24,457","2834,637"
"01","09","2017","10","7","P4","autobús","D2","España","esporádica","casa","13,321","1012,868"
"01","09","2017","10","7","P4","privado","D2","España","casa","esporádica","224,728","21796,897"
"01","09","2017","10","7","P4","privado","D2","España","casa","frecuente","19,854","1116,486"
